ticker,date,strategy,arrival_mid,market_vwap,executed_avg,fills,oversize_count,null_nbbo_count,vwap_slip_bps,is_bps,effective_spread_bps,realized_spread_bps,markout_1s_bps,markout_10s_bps,markout_60s_bps,reversion_5m_bps,pov,price_var,schedule_rmse,hit_ratio_nbbo,error
AAPL,20200113,twap,312.93,311.97872166827614,311.9476290000001,60,16,0,0.9966278504428706,31.39267567826309,0.8975961947647085,-2.6333887188737797,0.5104996248578767,0.38771864441360165,-0.05347742878707662,7.37108611351531,0.0021632323190369637,0.3335382562189551,0.0,1.0,""
AAPL,20200113,vwap_following,312.93,311.97872166827614,312.00143699999995,12,11,0,-0.7281051605810867,29.67318569648336,0.930157250494513,-2.154008458613641,0.5532153789428838,0.04070139454623159,-0.03904443294980413,-1.9226455602910333,0.0021632323190369637,0.3352735201791756,0.0,1.0,""
AAPL,20200114,twap,313.78,315.9521420966209,316.021085,60,13,0,-2.182067920845275,-71.42217477213511,0.9390567155706638,7.832574989284379,0.47268183771002265,0.2589617320139529,1.520952269949331,1.9000570017083234,0.001317837149855611,0.8072327529988611,0.0,1.0,""
AAPL,20200114,vwap_following,313.78,315.9521420966209,315.924362,12,12,0,0.8792501432834166,-68.33966473325263,0.7718992883573934,10.421581133379942,0.47799351339229906,0.05387400630748097,3.054326345489695,-10.142309277043301,0.001317837149855611,0.8201824445964637,0.0,1.0,""
AAPL,20200115,twap,315.355,314.60176001132163,314.53469299999995,60,16,0,2.131806615426098,26.012176753185162,0.921951960595856,-2.8007137381576364,0.39238340644254643,-0.1755149646530195,0.15069522061877128,11.925963617860322,0.002299264970974079,0.33561664302213573,0.0,1.0,""
AAPL,20200115,vwap_following,315.355,314.60176001132163,314.571577,12,12,0,0.959403765590933,24.84257424172845,0.9436007957554505,-2.3203510205362647,0.31987232203213994,0.17763101263944828,1.6275839709128708,6.998791117896878,0.002299264970974079,0.286180436830065,0.0,1.0,""
AAPL,20200116,twap,314.57,314.46274220757545,314.4793929999998,60,21,0,-0.5294996891349435,2.880344597393414,0.8266097628459783,-7.584277941003338,0.410806343227263,0.0745188377207615,-0.3848454954620326,-18.227168073674097,0.0019022360975550368,0.6429534606348836,0.0,1.0,""
AAPL,20200116,vwap_following,314.57,314.46274220757545,314.579781,12,12,0,-3.7218651596990577,-0.31093238389014327,0.8797616148651969,-5.894463632299132,0.5398324587316794,0.6104781321340905,-1.3047003294385626,3.034368212596475,0.0019022360975550368,0.6362794316583879,0.0,1.0,""
AAPL,20200117,twap,316.935,316.53985975128046,316.48360399999996,60,22,0,1.7772090795991862,14.242541846121291,0.73208202071893,-3.5068470013631274,0.43460861776757526,0.4399144462521638,0.11154740852672602,5.692059576890454,0.0022795295962725133,0.2826189065290603,0.0,1.0,""
AAPL,20200117,vwap_following,316.935,316.53985975128046,316.51312999999993,12,11,0,0.8444355570742303,13.310931263510481,0.7834220677399467,-3.800839513011467,0.5605401192371987,0.7803828926452093,-0.5854304818802607,-1.4230148942212653,0.0022795295962725133,0.25394463724969174,0.0,1.0,""
