ticker,date,base_strategy,routing,median_is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps,reversion_5m_bps,price_var,pov_pct,oversize_count,null_nbbo_count,n_fills,arrival_mid,market_vwap
AAPL,20200113,twap,nbbo,31.39267567826309,0.9966278504428706,0.8975961947647085,-0.05347742878707662,7.37108611351531,0.3335382562189551,0.0021632323190369637,16,0,60,312.93,311.97872166827614
AAPL,20200113,twap,naive,31.771354616047738,1.3764614473217929,1.657206075751839,0.3263454224871258,7.37108611351531,0.3336722570745786,0.0021632323190369637,29,0,60,312.93,311.97872166827614
AAPL,20200113,twap,top1,31.584507717383392,1.1890448193980334,1.2823842981224254,0.13890754977698833,7.37108611351531,0.33262230663329806,0.0021632323190369637,31,0,60,312.93,311.97872166827614
AAPL,20200113,twap,weighted,31.653756431150974,1.258504684748502,1.4212822411473742,0.20837419242519367,7.37108611351531,0.332232816060961,0.0021632323190369637,28,0,60,312.93,311.97872166827614
AAPL,20200113,vwap_following,nbbo,30.58537053014886,0.18686108606717625,0.9043066527280919,0.25091095128160906,-1.9226455602910333,0.3352735201791756,0.0021632323190369637,11,0,12,312.93,311.97872166827614
AAPL,20200113,vwap_following,naive,30.786533729588978,0.3886376677012617,1.3075342344602683,0.4525197832732562,-1.9226455602910333,0.33111382278057133,0.0021632323190369637,11,0,12,312.93,311.97872166827614
AAPL,20200113,vwap_following,top1,30.801393282842515,0.40354253036228915,1.3374018008727533,0.46749759659154355,-2.24315836698049,0.33185429442342945,0.0021632323190369637,10,0,12,312.93,311.97872166827614
AAPL,20200113,vwap_following,weighted,30.831016521266125,0.43325609528213643,1.3966797865259994,0.4971063044222393,-1.9226455602910333,0.3295577845133297,0.0021632323190369637,10,0,12,312.93,311.97872166827614
AAPL,20200113,ac_rn,nbbo,31.39267567826309,0.9966278504428706,0.8975961947647085,-0.05347742878707662,7.37108611351531,0.3335382562189551,0.0021632323190369637,16,0,60,312.93,311.97872166827614
AAPL,20200113,ac_rn,naive,31.771354616047738,1.3764614473217929,1.657206075751839,0.3263454224871258,7.37108611351531,0.3336722570745786,0.0021632323190369637,29,0,60,312.93,311.97872166827614
AAPL,20200113,ac_rn,top1,31.584507717383392,1.1890448193980334,1.2823842981224254,0.13890754977698833,7.37108611351531,0.33262230663329806,0.0021632323190369637,31,0,60,312.93,311.97872166827614
AAPL,20200113,ac_rn,weighted,31.653756431150974,1.258504684748502,1.4212822411473742,0.20837419242519367,7.37108611351531,0.332232816060961,0.0021632323190369637,28,0,60,312.93,311.97872166827614
AAPL,20200113,ac_ra,nbbo,21.21464864346759,-9.212433789937672,0.8814148211787577,-1.376497491224854,7.37108611351531,0.3335382562189551,0.0021632323190369637,18,0,60,312.93,311.97872166827614
AAPL,20200113,ac_ra,naive,21.777170613239264,-8.648196591133383,2.0087344393593827,-0.8128341946029901,7.37108611351531,0.3336722570745786,0.0021632323190369637,21,0,60,312.93,311.97872166827614
AAPL,20200113,ac_ra,top1,21.495765826230063,-8.930459431137017,1.444851858162514,-1.0947968001544044,7.37108611351531,0.33262230663329806,0.0021632323190369637,21,0,60,312.93,311.97872166827614
AAPL,20200113,ac_ra,weighted,21.641293580038507,-8.784487937453868,1.7363919440688231,-0.9489845553842802,7.37108611351531,0.332232816060961,0.0021632323190369637,22,0,60,312.93,311.97872166827614
AAPL,20200114,twap,nbbo,-71.42217477213511,-2.182067920845275,0.9390567155706638,1.520952269949331,1.9000570017083234,0.8072327529988611,0.001317837149855611,13,0,60,313.78,315.9521420966209
AAPL,20200114,twap,naive,-71.17247753202876,-1.9340873264405418,1.4346664201069714,1.7687961419690241,1.9000570017083234,0.8058794543325022,0.001317837149855611,24,0,60,313.78,315.9521420966209
AAPL,20200114,twap,top1,-71.26799031168127,-2.0289434644634996,1.2449871862132789,1.67397791681301,1.9000570017083234,0.8057530428746107,0.001317837149855611,26,0,60,313.78,315.9521420966209
AAPL,20200114,twap,weighted,-71.19367072471056,-1.9551348178598635,1.392514966615594,1.747741120037641,1.9000570017083234,0.8054453798284541,0.001317837149855611,20,0,60,313.78,315.9521420966209
AAPL,20200114,vwap_following,nbbo,-69.12056217732295,0.10372129776145365,0.787184301683097,2.938665319299991,-10.142309277043301,0.8201824445964637,0.001317837149855611,12,0,12,313.78,315.9521420966209
AAPL,20200114,vwap_following,naive,-68.69035630059325,0.5309695484125362,1.6412778967196116,3.3659408533579387,-10.459587955625485,0.8165058592452477,0.001317837149855611,12,0,12,313.78,315.9521420966209
AAPL,20200114,vwap_following,top1,-68.9860730448087,0.23728582978293858,1.0537318103093105,3.07202363351628,-10.142309277043301,0.8169510945638541,0.001317837149855611,12,0,12,313.78,315.9521420966209
AAPL,20200114,vwap_following,weighted,-68.64408184078154,0.5769258755428646,1.7334119360378617,3.412020871248115,-10.459587955625485,0.8185519364873994,0.001317837149855611,12,0,12,313.78,315.9521420966209
AAPL,20200114,ac_rn,nbbo,-71.42217477213511,-2.182067920845275,0.9390567155706638,1.520952269949331,1.9000570017083234,0.8072327529988611,0.001317837149855611,13,0,60,313.78,315.9521420966209
AAPL,20200114,ac_rn,naive,-71.17247753202876,-1.9340873264405418,1.4346664201069714,1.7687961419690241,1.9000570017083234,0.8058794543325022,0.001317837149855611,24,0,60,313.78,315.9521420966209
AAPL,20200114,ac_rn,top1,-71.26799031168127,-2.0289434644634996,1.2449871862132789,1.67397791681301,1.9000570017083234,0.8057530428746107,0.001317837149855611,26,0,60,313.78,315.9521420966209
